module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
wds,2-wds-design,Conceptual Sketching,CS,20,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-conceptual-sketching,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,在详细规格之前进行快速粗略的视觉探索。多种入口：提供手绘草图、分享灵感、让AI生成选项或与Freya讨论。目标是方向而非完美。推荐用于复杂或陌生的流程。简单场景可跳过,design_artifacts/C-UX-Scenarios,sketches
wds,2-wds-design,Storyboarding,SB,30,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-storyboarding,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,将用户旅程按屏幕排序。映射入口点、转换、成功状态和错误路径为视觉叙事。帮助在详细规格前发现遗漏。推荐用于多步骤流程。如果场景简单可跳过直接进入规格,design_artifacts/C-UX-Scenarios,storyboards
wds,2-wds-design,Conceptual Specifications,SP,40,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-conceptual-specs,true,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,必需。WDS的核心。记录每个设计决策——每个页面上每个元素的什么、为什么、如何以及精确内容。不留任何解释空间。规格即设计。页面、区块、组件、元素及其所有状态。开发者或AI代理可直接据此构建无需提问,design_artifacts/C-UX-Scenarios,page-specs scenario-specs
wds,2-wds-design,Functional Components,FI,50,_bmad/wds/workflows/4-ux-design/workflow.md,bmad-wds-functional-components,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,识别规格中的可复用模式。当同一组件出现三次以上且行为一致时将其提取为可复用定义。让设计系统有机生长。如果设计系统模式为None则跳过,design_artifacts/C-UX-Scenarios,component-candidates
wds,2-wds-design,Visual Design,VD,60,_bmad/wds/workflows/6-asset-generation/workflow.md,bmad-wds-visual-design,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,将规格转化为视觉原型。从规格生成样式化HTML原型然后通过Figma往返或AI图像生成进行优化。这是产品注入灵魂的地方。视觉设计师应设定视觉语言——AI一致地应用它,design_artifacts/C-UX-Scenarios,html-prototypes visual-designs
wds,2-wds-design,Design System,DS,70,_bmad/wds/workflows/7-design-system/workflow.md,bmad-wds-design-system,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,根据项目模式管理组件库：无、构建中或已有。组件和设计令牌从设计工作中有机生长。每个项目在前一个基础上构建。如果设计系统模式为None则跳过,design_artifacts/D-Design-System,components/ design-tokens.md
wds,2-wds-design,Design Delivery,DD,80,_bmad/wds/workflows/4-ux-design/workflow-handover.md,bmad-wds-design-delivery,true,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,必需。验证规格完整性并打包为DD yaml文件交付开发。Freya运行最终审计检查每个元素、每个状态和可访问性。DD合约是开发者或智能开发阶段据此构建的基础。没有这个验证任何东西都不能发布,design_artifacts/E-PRD/Design-Deliveries,delivery-package acceptance-criteria
wds,3-wds-build,Agentic Development,AD,10,_bmad/wds/workflows/5-agentic-development/workflow.md,bmad-wds-agentic-development,false,pm,bmad:and stakeholder alignment.:agent:pm,John,📋 Product Manager,Create Mode,通过设计日志跟踪进行迭代构建。设计一个东西、构建它、用Puppeteer在浏览器中验证、迭代。每个决策都被记录以便重启对话时不丢失上下文。代理根据验收标准测试自己的工作而你负责定性判断,_progress/agent-experiences,experience-documents
wds,3-wds-build,Acceptance Testing,AT,20,_bmad/wds/workflows/5-agentic-development/workflow-acceptance-testing.md,bmad-wds-usability-testing,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,在真实用户自己的设备和环境中测试产品。规划测试场景、以沉默和引导方式进行会议、然后回放录像让用户进行回顾性有声思考。Whiteport规则：如果不值得展示给5个用户和1个领域专家就不该构建,design_artifacts/F-Testing,test-results findings
wds,3-wds-build,Product Evolution,PE,30,_bmad/wds/workflows/8-product-evolution/workflow.md,bmad-wds-product-evolution,false,freya-ux,bmad:not FOR you. Starts with WHY before HOW — design without strategy is decoration. Creates artifacts developers can trust: detailed specs:agent:freya-ux,Freya,🎨 WDS Designer,Create Mode,活产品的持续改进。完整WDS流程的微缩版——接收反馈、连接触发映射、先更新规格再投射到代码中、验证并记录。每个变更都记录在设计日志中。如果你有现有产品想要改进从这里开始,design_artifacts,updated-artifacts
